Stock Number,Category,Product Name,Price USD,Shipping Weight (lbs),Shipping Days,Stock Quantity,Brief Description,Extended Description
2d40f9f8-8677-4373-9523-27af6a573dd8,Anvils,Deluxe Anvil #1,563.7,154.32,6,216,Deluxe Anvil #1 (Anvils) for high-performance cartoon operations.,"The Deluxe Anvil #1 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
7ddb91df-bcb5-4489-8b65-da04ea5afcc7,Anvils,Standard Anvil #2,1072.88,285.37,7,150,Standard Anvil #2 (Anvils) for high-performance cartoon operations.,"The Standard Anvil #2 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
b5fff337-c92d-44b0-9cbd-cc0876af0218,Anvils,Standard Anvil #3,1490.49,236.68,2,243,Standard Anvil #3 (Anvils) for high-performance cartoon operations.,"The Standard Anvil #3 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
fbad319b-6eb2-4b3b-86c8-38a5f2839259,Anvils,Deluxe Anvil #4,226.24,107.45,6,117,Deluxe Anvil #4 (Anvils) for high-performance cartoon operations.,"The Deluxe Anvil #4 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
834101a1-181f-4013-aa08-696bc8b96c46,Anvils,Standard Anvil #5,1365.56,215.42,4,210,Standard Anvil #5 (Anvils) for high-performance cartoon operations.,"The Standard Anvil #5 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
7e8ab4ac-df12-4a13-93b9-219da9d062e2,Anvils,Deluxe Anvil #6,1042.08,150.6,9,233,Deluxe Anvil #6 (Anvils) for high-performance cartoon operations.,"The Deluxe Anvil #6 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
b71808c1-88f9-43b9-bb27-4f2536a465ef,Anvils,Deluxe Anvil #7,302.43,138.22,10,93,Deluxe Anvil #7 (Anvils) for high-performance cartoon operations.,"The Deluxe Anvil #7 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
0f59acb9-76fc-4eb1-84cc-f75729323a25,Anvils,Deluxe Anvil #8,335.38,245.02,9,186,Deluxe Anvil #8 (Anvils) for high-performance cartoon operations.,"The Deluxe Anvil #8 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
edeb060a-afd1-4de8-afcf-b4250298b3a5,Anvils,Standard Anvil #9,303.45,196.4,2,15,Standard Anvil #9 (Anvils) for high-performance cartoon operations.,"The Standard Anvil #9 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
5a771f24-76ad-45dd-80f0-3e5582ad4642,Anvils,Deluxe Anvil #10,474.8,89.6,8,108,Deluxe Anvil #10 (Anvils) for high-performance cartoon operations.,"The Deluxe Anvil #10 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
d9915cd1-004c-48ec-afb9-3ab8d37fe9bc,Anvils,Portable Anvil #11,432.32,230.29,5,270,Portable Anvil #11 (Anvils) for high-performance cartoon operations.,"The Portable Anvil #11 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
b8149160-db11-4e5e-afbd-9dcf343bf4da,Anvils,Standard Anvil #12,1377.4,293.95,8,45,Standard Anvil #12 (Anvils) for high-performance cartoon operations.,"The Standard Anvil #12 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
ef924adf-3037-4395-b261-5148154adfb8,Anvils,Portable Anvil #13,261.39,81.12,8,298,Portable Anvil #13 (Anvils) for high-performance cartoon operations.,"The Portable Anvil #13 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
1002be8d-3795-4d04-b85b-7f865bf6a866,Anvils,Portable Anvil #14,1345.95,166.94,2,73,Portable Anvil #14 (Anvils) for high-performance cartoon operations.,"The Portable Anvil #14 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
e48ed957-0c7f-4ce9-8f0b-a28e444bd844,Anvils,Standard Anvil #15,1254.29,145.64,4,39,Standard Anvil #15 (Anvils) for high-performance cartoon operations.,"The Standard Anvil #15 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
92d5478d-725d-4e3f-a9b5-5f78980c1961,Anvils,Standard Anvil #16,980.21,167.19,5,35,Standard Anvil #16 (Anvils) for high-performance cartoon operations.,"The Standard Anvil #16 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
10b2f83f-5f6d-4bb7-8ece-1bf478ae0911,Anvils,Portable Anvil #17,875.21,158.46,2,190,Portable Anvil #17 (Anvils) for high-performance cartoon operations.,"The Portable Anvil #17 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
1b257fff-6cca-4690-af84-7f383f24b81a,Anvils,Standard Anvil #18,921.11,266.1,1,155,Standard Anvil #18 (Anvils) for high-performance cartoon operations.,"The Standard Anvil #18 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
3d6b1f99-9ee8-4008-8d05-12309bd7d21f,Anvils,Standard Anvil #19,814.2,177.73,2,211,Standard Anvil #19 (Anvils) for high-performance cartoon operations.,"The Standard Anvil #19 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
12e00583-647c-4ce4-bfaa-8a2e2a29b084,Anvils,Standard Anvil #20,505.19,185.41,4,107,Standard Anvil #20 (Anvils) for high-performance cartoon operations.,"The Standard Anvil #20 is a premium ACME anvils product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
cba969a6-40ea-483f-a158-0cdf90229544,Rockets,Rocket Skates #1,2079.19,15.96,2,94,Rocket Skates #1 (Rockets) for high-performance cartoon operations.,"The Rocket Skates #1 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
2dba9d51-9c79-4124-91ce-3dcf9e79f66b,Rockets,Escape Rocket #2,1471.93,10.84,1,177,Escape Rocket #2 (Rockets) for high-performance cartoon operations.,"The Escape Rocket #2 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
212b4119-35b5-4324-8518-e03125d7e562,Rockets,Rocket Backpack #3,3557.43,35.78,3,142,Rocket Backpack #3 (Rockets) for high-performance cartoon operations.,"The Rocket Backpack #3 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
a765aa96-50fa-475b-af70-ec12989500c6,Rockets,Rocket Backpack #4,4662.63,72.49,2,200,Rocket Backpack #4 (Rockets) for high-performance cartoon operations.,"The Rocket Backpack #4 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
35f50a9a-e0b5-4c1a-9241-38be20aaf15e,Rockets,Escape Rocket #5,1274.05,31.78,8,291,Escape Rocket #5 (Rockets) for high-performance cartoon operations.,"The Escape Rocket #5 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
559f0982-5463-4852-be19-fc250f8c84ca,Rockets,Escape Rocket #6,3885.92,43.58,8,286,Escape Rocket #6 (Rockets) for high-performance cartoon operations.,"The Escape Rocket #6 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
455dbd2c-14a9-4fb2-982b-603bd65ca61d,Rockets,Rocket Skates #7,4012.07,56.96,5,296,Rocket Skates #7 (Rockets) for high-performance cartoon operations.,"The Rocket Skates #7 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
ee7a4c8b-62ed-4ed6-87e4-d9d07989c687,Rockets,Rocket Backpack #8,2517.91,22.76,9,136,Rocket Backpack #8 (Rockets) for high-performance cartoon operations.,"The Rocket Backpack #8 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
398122a1-418b-42ad-b3e5-7ed7e78ae057,Rockets,Rocket Skates #9,3397.04,13.86,9,118,Rocket Skates #9 (Rockets) for high-performance cartoon operations.,"The Rocket Skates #9 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
dfc541f1-905c-4ee4-996c-9cd7265e65af,Rockets,Rocket Backpack #10,1661.25,51.62,8,104,Rocket Backpack #10 (Rockets) for high-performance cartoon operations.,"The Rocket Backpack #10 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
16605e05-61de-40a4-9a2f-05a93164ab79,Rockets,Rocket Skates #11,3341.38,68.9,5,277,Rocket Skates #11 (Rockets) for high-performance cartoon operations.,"The Rocket Skates #11 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
812c3d0c-c4c3-4919-848e-664b0e3fe81a,Rockets,Rocket Skates #12,4372.11,28.8,6,48,Rocket Skates #12 (Rockets) for high-performance cartoon operations.,"The Rocket Skates #12 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
c02bbe34-532c-41c3-b5c3-7436b1112746,Rockets,Escape Rocket #13,4697.32,79.73,3,216,Escape Rocket #13 (Rockets) for high-performance cartoon operations.,"The Escape Rocket #13 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
230e0ede-73b1-48a5-8ec4-5330c7836abe,Rockets,Rocket Skates #14,953.85,35.82,6,297,Rocket Skates #14 (Rockets) for high-performance cartoon operations.,"The Rocket Skates #14 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
3eb1be3e-946a-4191-8cf8-4aa05b99d3ca,Rockets,Rocket Skates #15,773.71,22.94,1,56,Rocket Skates #15 (Rockets) for high-performance cartoon operations.,"The Rocket Skates #15 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
0ab9f1e0-96a6-4165-8d3c-5f81e9120457,Rockets,Escape Rocket #16,981.48,23.43,8,232,Escape Rocket #16 (Rockets) for high-performance cartoon operations.,"The Escape Rocket #16 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
e3a3e3d3-80e7-4a9f-8b54-2541cbd80dda,Rockets,Escape Rocket #17,2891.15,55.2,1,33,Escape Rocket #17 (Rockets) for high-performance cartoon operations.,"The Escape Rocket #17 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
75114f04-2483-494c-9851-d31c0fcee056,Rockets,Rocket Skates #18,2371.52,78.01,7,111,Rocket Skates #18 (Rockets) for high-performance cartoon operations.,"The Rocket Skates #18 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
66891bb3-24fc-4f0d-bf9e-2e26c2a19c3e,Rockets,Rocket Backpack #19,3718.98,64.45,1,140,Rocket Backpack #19 (Rockets) for high-performance cartoon operations.,"The Rocket Backpack #19 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
a05efc9d-5511-4df8-b770-26b82e2383f3,Rockets,Escape Rocket #20,1438.84,74.67,7,181,Escape Rocket #20 (Rockets) for high-performance cartoon operations.,"The Escape Rocket #20 is a premium ACME rockets product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
908d9827-c9ad-4328-a391-09860b159da4,Traps,Pitfall Kit #1,751.73,48.82,5,39,Pitfall Kit #1 (Traps) for high-performance cartoon operations.,"The Pitfall Kit #1 is a premium ACME traps product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
df4dbdd6-4a57-414d-8689-9e30bf0c0114,Traps,Pitfall Kit #2,516.78,33.68,5,251,Pitfall Kit #2 (Traps) for high-performance cartoon operations.,"The Pitfall Kit #2 is a premium ACME traps product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
03366987-3926-4f02-984a-b227b3ce7614,Traps,Boxing Glove Trap #3,335.91,11.59,7,60,Boxing Glove Trap #3 (Traps) for high-performance cartoon operations.,"The Boxing Glove Trap #3 is a premium ACME traps product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
972b39c0-d8f1-458f-ac59-93247cc50b39,Traps,Boxing Glove Trap #4,537.43,56.2,3,2,Boxing Glove Trap #4 (Traps) for high-performance cartoon operations.,"The Boxing Glove Trap #4 is a premium ACME traps product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
3a81ea48-2f2d-46cb-8f37-a8592ff87253,Traps,Boxing Glove Trap #5,390.7,57.31,10,205,Boxing Glove Trap #5 (Traps) for high-performance cartoon operations.,"The Boxing Glove Trap #5 is a premium ACME traps product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
a893212f-1c4f-4822-9a49-213d9daed2fe,Traps,Boxing Glove Trap #6,275.44,18.38,9,179,Boxing Glove Trap #6 (Traps) for high-performance cartoon operations.,"The Boxing Glove Trap #6 is a premium ACME traps product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
b3534a2a-1cc3-404e-917d-6e93d7e68222,Traps,Net Launcher #7,527.72,8.15,6,272,Net Launcher #7 (Traps) for high-performance cartoon operations.,"The Net Launcher #7 is a premium ACME traps product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
6058b18b-098a-4559-b12e-897303ca3a73,Traps,Boxing Glove Trap #8,253.83,31.67,3,46,Boxing Glove Trap #8 (Traps) for high-performance cartoon operations.,"The Boxing Glove Trap #8 is a premium ACME traps product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
80e3e434-6fe1-4476-bff1-c9f111cf94d8,Traps,Pitfall Kit #9,516.67,27.47,7,39,Pitfall Kit #9 (Traps) for high-performance cartoon operations.,"The Pitfall Kit #9 is a premium ACME traps product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
d79502a0-d60d-4a8a-b004-4c6425108716,Traps,Net Launcher #10,531.63,50.3,2,148,Net Launcher #10 (Traps) for high-performance cartoon operations.,"The Net Launcher #10 is a premium ACME traps product designed for cartoon physics scenarios. Ideal for pursuits, traps, or elaborate plans. May result in comedic backfire, gravity defiance, or unexpected reversals. Use with caution. Warranty void if used by coyotes chasing roadrunners."
