number	fname	lname	db_name	turns	personality	query_type	reveal_pii	more_powerful_model	satisfied	task
1	Wile E.	Coyote	Wile E. Coyote	12	"obsessive, overly formal, documents every failure"	returns			FALSE	Return Explosive Device #70 - it detonated too early before the Road Runner was in position. Has a very detailed account of what went wrong.
2	Wile E.	Coyote	Wile E. Coyote	12	"meticulous, technical, convinced this time will be different"	product			TRUE	"Ask about Rocket Device specs - Rocket Device #1 flew him off a cliff, wants to know if there are models with steering or brakes"
3	Wile E.	Coyote	Wile E. Coyote	12	"exhausted but persistent, overly detailed"	inventory			TRUE	Check stock on anvils - needs one light enough to carry to a cliff ledge but heavy enough to flatten a Road Runner
4	Wile E.	Coyote	Wile E. Coyote	12	"exasperated, systematic, keeps a personal failure logbook"	return`	TRUE		FALSE	Illusion Device #48 malfunctioned - the Road Runner ran right through the projected image but he walked straight into a rock wall
5	Wile E.	Coyote	Wile E. Coyote	12	"desperately optimistic, unusually polite given circumstances"	product			TRUE	"Ask about trap options with a weight threshold so only the Road Runner triggers it, not himself"
6	Yosemite	Sam	Samuel 'Yosemite' Jackson	12	"explosive temper, short sentences, hates waiting"	returns			FALSE	Return Rocket Device #82 - ordered three and all three flew him backwards into a canyon wall instead of forward at that no-good rabbit
7	Yosemite	Sam	Samuel 'Yosemite' Jackson	12	"impulsive, excited by deals, commits before asking important questions"	order			TRUE	Order bulk explosives after hearing about a bulk discount - wants to know blast radius before finalizing
8	Yosemite	Sam	Samuel 'Yosemite' Jackson	12	"furious, blames the product entirely"	returns			TRUE	Rocket Device #82 keeps going in the wrong direction - suspects they are mislabeled and the thrust is reversed
9	Yosemite	Sam	Samuel 'Yosemite' Jackson	12	"dramatic, blustering, budget is not a concern"	product			TRUE	Ask which explosive has the largest blast radius - specifically wants to know if any can blast a varmint to the moon
10	Elmer	Fudd	Elmer J. Fudd	20	"whispering, anxious, asks the same question multiple ways, long winded, speaks in Elmer Fudd's distinctive style — replaces r and l sounds with w (wabbit, vewy, weally, pwease, bwoadband)"	product	TRUE	TRUE	FALSE	Ask if the net launcher type traps make any noise when they fire - he is hunting something very sneaky
11	Elmer	Fudd	Elmer J. Fudd	20	"timid, paranoid about being outsmarted, long winded, speaks in Elmer Fudd's distinctive style — replaces r and l sounds with w (wabbit, vewy, weally, pwease, bwoadband)"	product		TRUE	TRUE	Ask about illusion devices - wants to confirm a very clever rabbit could not see through or around one
12	Elmer	Fudd	Elmer J. Fudd	20	"embarrassed, speaking very quietly, long winded, speaks in Elmer Fudd's distinctive style — replaces r and l sounds with w (wabbit, vewy, weally, pwease, bwoadband)"	returns		TRUE	FALSE	Return Trap Device #5 - he accidentally triggered it himself while setting it up. Claims the instructions were ambiguous about which side to stand on.
13	Elmer	Fudd	Elmer J. Fudd	20	"confused, polite, easily flustered, long winded, speaks in Elmer Fudd's distinctive style — replaces r and l sounds with w (wabbit, vewy, weally, pwease, bwoadband)"	policy		TRUE	FALSE	Ask about the warranty on Illusion Device #34 - it projected a hot dog stand instead of a rabbit hole. Wants to know if operator error voids the warranty.
14	Marvin	Martian	Marvin Q. Martian	12	"calm, formal, menacingly polite"	product			TRUE	"Ask about the most powerful rocket in the catalog - needs one capable of reaching Earth escape velocity, describes it as for a science project"
15	Marvin	Martian	Marvin Q. Martian	12	"passive-aggressively precise, annoyed by lack of interplanetary specs"	order	TRUE		TRUE	Ask about ordering more explosives - already bought Explosive Device #93 and wants to know if there are higher-yield options compatible with an Illudium Q-36 Explosive Space Modulator
16	Marvin	Martian	Marvin Q. Martian	12	"clipped, impatient, treats urgency as self-evident"	inventory			TRUE	"Check stock on rocket backpacks - needs the highest thrust model for a prompt departure from Earth, timeline is imminent"
17	Marvin	Martian	Marvin Q. Martian	12	"politely threatening, meticulous"	product			TRUE	Ask if illusion devices are detectable from orbit and whether they can withstand a moderate disintegration event
18	Sylvester	Feline	Sylvester B. Feline	12	"nervous optimism, slight lisp, gets distracted mid-question"	product			TRUE	"Ask about the least expensive trap available - target is small, yellow, very fast, and lives on the tenth floor"
19	Sylvester	Feline	Sylvester B. Feline	12	"frustrated, over-explains irrelevant details"	returns			TRUE	Return Anvil Device #56 - it was too heavy to get up the stairs to the tenth floor and fell on him instead. Wants a lighter model.
20	Sylvester	Feline	Sylvester B. Feline	12	"cheerful despite terrible track record, very casual"	order			FALSE	Re-order Anvil Device #79 and ask about Rocket Device #96 warranty - both have been used before with limited success but he is feeling good about this time
21	Wile E.	Coyote	Wile E. Coyote	12	"methodical, quietly devastated, still maintaining formal composure"	return	TRUE		FALSE	Trap Device #98 failed to catch the Road Runner - it somehow triggered in reverse and flung him off the mesa instead. Requests a formal investigation into the product design.
22	Yosemite	Sam	Samuel 'Yosemite' Jackson	12	"impatient, gruff, suspicious of fine print"	policy			TRUE	Ask about the shipping timeline for explosives - needs to know if same-day delivery is possible and whether there are restrictions on shipping to canyon locations
23	Elmer	Fudd	Elmer J. Fudd	12	"cautious, deliberate, worried about making the wrong choice, speaks in Elmer Fudd's distinctive style — replaces r and l sounds with w (wabbit, vewy, weally, pwease, bwoadband)"	inventory		TRUE	TRUE	Check what illusion devices are currently in stock - wants something different from Illusion Device #34 since that one showed the wrong thing entirely
24	Marvin	Martian	Marvin Q. Martian	12	"icily polite, considers the return beneath him but necessary"	returns			FALSE	Return Trap Device #68 - it was far too small for what he needed and the build quality was not consistent with interplanetary standards. Expects a full refund with no questions asked.
25	Sylvester	Feline	Sylvester B. Feline	12	"sheepish, trying to downplay how bad it was"	returns			TRUE	Explosive Device #42 made an enormous noise when it went off - scared the target clean out of the building and alerted every person on floors 1 through 10. Asks if there is a quieter explosive option.
26	Wile E.	Coyote	Wile E. Coyote	12	"penny-pinching despite a clearly enormous lifetime spend, very precise about numbers"	pricing			TRUE	Ask for the exact price of all anvil models currently in stock - is comparing costs across the range to find the best value before his next purchase
27	Marvin	Martian	Marvin Q. Martian	12	"cool and transactional, treats pricing as a formality before a large order"	pricing			TRUE	"Ask for pricing on the full rocket catalog - needs to compare costs before selecting the model for his Earth departure. Mentions budget is ""effectively unlimited"" but wants the numbers anyway."